Key,Source,Context,en-us,zh-cn
Studio.Toolbox.General.SalesOffsale,Offsale, ,Offsale,Offsale
Studio.Toolbox.General.SalesOffsaleApplyToSave,Offsale (apply to save changes), ,Offsale (apply to save changes),Offsale (apply to save changes)
Studio.Toolbox.General.SalesItemCannotBeSold,This item cannot be sold right now, ,This item cannot be sold right now,This item cannot be sold right now
Studio.Toolbox.General.SalesPrice,Price, ,Price,Price
Studio.Toolbox.General.SalesPriceRange,Price range: {minPrice} - {maxPrice}, ,Price range: {minPrice} - {maxPrice},Price range: {minPrice} - {maxPrice}
Studio.Toolbox.General.SalesEarning,You earn: {earning}, ,You earn: {earning},You earn: {earning}
Studio.Toolbox.General.SalesServiceFee,Service fee will be collected upon sale, ,Service fee will be collected upon sale,Service fee will be collected upon sale
Studio.Toolbox.General.SideTabSales,Sales, ,Sales,Sales
Studio.Toolbox.General.SideTabVersions,Versions, ,Versions,Versions
Studio.Toolbox.General.SideTabGeneral,General, ,General,General
Studio.Toolbox.General.SideTabPermissions,Permissions, ,Permissions,Permissions
Studio.Toolbox.General.PreviewAreaAssetID,Asset ID: {assetId}, ,Asset ID: {assetId},Asset ID: {assetId}
Studio.Toolbox.General.PreviewAreaStatus,Status: {assetStatus}, ,Status: {assetStatus},Status: {assetStatus}
Studio.Toolbox.General.InstallSuccess,Success!, ,Success!, 
Studio.Toolbox.General.InstallFailure,Failure, ,Failure, 
Studio.Toolbox.AssetConfigFooter.NewAsset,Save as a new asset..., ,Save as a new asset...,Save as a new asset...
Studio.Toolbox.AssetConfigFooter.Override,Overwrite an existing asset..., ,Overwrite an existing asset...,Overwrite an existing asset...
Studio.Toolbox.AssetConfigFooter.OverrideTitle,Choose an existing model to overwrite., ,Choose an existing model to overwrite.,Choose an existing model to overwrite.
Studio.Toolbox.AssetConfigCopy.Terms,"By switching on, you are granting every other user of Roblox the right to use (in various ways) the content you are now sharing. If you do not want to grant this right, please do not check this box. For more information about sharing content, please review the Roblox Terms of Use.", ,"By switching on, you are granting every other user of Roblox the right to use (in various ways) the content you are now sharing. If you do not want to grant this right, please do not check this box. For more information about sharing content, please review the Roblox Terms of Use.","By switching on, you are granting every other user of Roblox the right to use (in various ways) the content you are now sharing. If you do not want to grant this right, please do not check this box. For more information about sharing content, please review the Roblox Terms of Use."
Studio.Toolbox.AssetConfigCopy.AccountSetting,"In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings.", ,"In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings.","In order to share content in Marketplace, you must add & verify an email address to your account. This can be done in Account Settings."
Studio.Toolbox.AssetConfigVersions.Current,Current published version, ,Current published version,Current published version
Studio.Toolbox.AssetConfigVersions.Restore,Restore previous version, ,Restore previous version,Restore previous version
Studio.Toolbox.AssetConfig.GetAssetFailed,There was an problem fetching asset data. We will be closing AssetConfig page., ,There was an problem fetching asset data. We will be closing AssetConfig page.,There was an problem fetching asset data. We will be closing AssetConfig page.
Studio.Toolbox.AssetConfig.Error,Error, ,Error,Error
