Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.MaterialManager.Materials.SlateVariant,,,Slate Variant,Slate Variant,متغير حجر الأردواز,Schiefervariante,Variante de pizarra,Variante de l'ardoise,स्लेट वेरिएंट,Varian Batu Sabak,Variante Tegola,スレートのバリエーション,슬레이트 변형,Wariant łupku,Variante de ardósia,,ตัวแปรหินชนวน,Arduvaz Çeşidi,Biến Thể Đá Phiến,石板变量,石板变量,板岩變種
Studio.MaterialManager.Materials.SandstoneVariant,,,Sandstone Variant,Sandstone Variant,متغير الحجر الرملي,Sandsteinvariante,Variante de piedra arenisca,Variante de grès,सैंडस्टोन वेरिएंट,Varian Batu Pasir,Variante Arenaria,サンドストーンのバリエーション,사암 변형,Wariant piaskowca,Variante de arenito,,ตัวแปรหินทราย,Kum Taşı Çeşidi,Biến Thể Sa Thạch,砂岩变量,砂岩变量,砂岩變種
Studio.MaterialManager.Materials.SmoothPlasticVariant,,,Smooth Plastic Variant,Smooth Plastic Variant,متغير البلاستيك الناعم,Glatte Plastikvariante,Variante de plástico liso,Variante en plastique lisse,समतल प्लास्टिक वेरिएंट,Varian Plastik Mulus,Variante Di Plastica Liscia,なめらかなプラスチックのバリエーション,매끈한 플라스틱 변형,Wariant gładkiego plastiku,Variante de plástico liso,,ตัวแปรพลาสติกเรียบ,Pürüzsüz Plastik Çeşidi,Biến Thể Nhựa Hạt Mịn,平滑塑料变量,平滑塑料变量,平滑塑膠變種
Studio.MaterialManager.Materials.WaterVariant,,,Water Variant,Water Variant,متغير الماء,Wasservariante,Variante de agua,Variante de l'eau,वाटर वेरिएंट,Varian Air,Variante Acqua,水のバリエーション,물 변형,Wariant wody,Variante de água,,ตัวแปรน้ำ,Su Çeşidi,Biến Thể Nước,水变量,水变量,水變種
Studio.MaterialManager.Materials.WoodVariant,,,Wood Variant,Wood Variant,متغير الخشب,Holzvariante,Variante de madera,Variante de bois,वुड वेरिएंट,Varian Kayu,Variante Roccia,木材のバリエーション,목재 변형,Wariant drewna,Variante de madeira,,ตัวแปรไม้,Ahşap Çeşidi,Biến Thể Gỗ,木变量,木变量,木材變種
Studio.MaterialManager.Materials.WoodPlanksVariant,,,Wood Planks Variant,Wood Planks Variant,متغير الألواح الخشبية,Holzbohlenvariante,Variante de tablones de madera,Variante de planches de bois,वुड प्लैंक वेरिएंट,Varian Papan Kayu,Variante Piastre Di Legno,木の板のバリエーション,나무 판자 변형,Wariant desek drewnianych,Variante de tábuas,,ตัวแปรแผ่นไม้,Ahşap Kalas Çeşidi,Biến Thể Ván Gỗ,木板变量,木板变量,木板變種
Studio.MaterialManager.Materials.AirMaterial,,,Air Material,Air Material,مادة الهواء,Luftmaterial,Material de aire,Matériau de l'air,एयर मटीरियल,Material Udara,Materiale Aria,空気の素材,공기 재질,Materiał powietrze,Material de ar,,วัสดุอากาศ,Hava Malzeme,Vật Liệu Không Khí,空气材质,空气材质,空氣材質
Studio.MaterialManager.Materials.AsphaltMaterial,,,Asphalt Material,Asphalt Material,مادة الأسفلت,Asphaltmaterial,Material de alquitrán,Matériau de l'asphalte,डामर मटीरियल,Material Aspal,Materiale Asfalto,アスファルト素材,아스팔트 재질,Materiał asfalt,Material de asfalto,,วัสดุแอสฟัลต์,Asfalt Malzeme,Vật Liệu Nhựa Đường,沥青材质,沥青材质,瀝青材質
Studio.MaterialManager.Materials.BasaltMaterial,,,Basalt Material,Basalt Material,مادة البازلت,Basaltmaterial,Material de basalto,Matériau de basalte,बसॉल्ट मटीरियल,Material Basal,Materiale Basalto,玄武岩の素材,현무암 재질,Materiał bazalt,Material de basalto,,วัสดุบะซอลต์,Bazalt Malzeme,Vật Liệu Bazan,玄武岩材质,玄武岩材质,玄武岩材質
Studio.MaterialManager.Materials.BrickMaterial,,,Brick Material,Brick Material,مادة الطوب,Ziegelmaterial,Material de ladrillo,Matériau de brique,ब्रिक मटीरियल,Material Bata,Materiale Mattone,レンガ素材,벽돌 재질,Materiał cegła,Material de tijolo,,วัสดุอิฐ,Tuğla Malzeme,Vật Liệu Gạch,砖块材质,砖块材质,磚塊材質
Studio.MaterialManager.Materials.CobblestoneMaterial,,,Cobblestone Material,Cobblestone Material,مادة الحصى,Pflastersteinmaterial,Material de adoquín,Matériau de pierre,कॉबलस्टोन मटीरियल,Material Batu Bundar,Materiale Ciottolo,玉砂利の素材,왕자갈 재질,Materiał bruk,Material de paralelepípedo,,วัสดุหินกรวด,Parke Taşı Malzeme,Vật Liệu Đá Cuội,大鹅卵石材质,大鹅卵石材质,鵝卵石材質
Studio.MaterialManager.Materials.ConcreteMaterial,,,Concrete Material,Concrete Material,مادة الخرسانة,Betonmaterial,Material de hormigón,Matériau de béton,कंक्रीट मटीरियल,Material Beton,Materiale Cemento,コンクリート素材,콘크리트 재질,Materiał beton,Material de concreto,,วัสดุคอนกรีต,Beton Malzeme,Vật Liệu Bê Tông,水泥材质,水泥材质,混凝土材質
Studio.MaterialManager.Materials.CorrodedMetalMaterial,,,Corroded Metal Material,Corroded Metal Material,مادة معدنية متآكلة,Verrostetes Metallmaterial,Material de metal corroído,Matériau de métal corrodé,कोरोडेड मेटल मटीरियल,Material Logam Berkarat,Materiale In Metallo Corroso,さびた金属素材,부식된 금속 재질,Materiał skorodowany metal,Material de metal corroido,,วัสดุโลหะผุกร่อน,Aşınmış Metal Malzeme,Vật Liệu Kim Loại Bị Ăn Mòn,腐蚀金属材质,腐蚀金属材质,腐蝕金屬材質
