Key,Context,Example,Source,en-us
Studio.TerrainEditor.TransformSettings.MergeEmpty,,,Merge Empty,Merge Empty
Studio.TerrainEditor.TransformSettings.LiveEdit,,,Live Edit,Live Edit
Studio.TerrainEditor.TransformSettings.SnapToVoxels,,,Snap to Voxels,Snap to Voxels
Studio.TerrainEditor.Categories.TransformSettings,,,Transform Settings,Transform Settings
Studio.TerrainEditor.PluginActions.EditPlaneStatusTip,,,Edit/apply plane when using plane lock in manual mode,Edit/apply plane when using plane lock in manual mode
Studio.TerrainEditor.PluginActions.EditPlaneText,,,Edit Plane,Edit Plane
Studio.TerrainEditor.PluginActions.CopyStatusTip,,,Copy Region Selection,Copy Region Selection
Studio.TerrainEditor.PluginActions.CopyText,,,Copy,Copy
Studio.TerrainEditor.PluginActions.CutStatusTip,,,Cut Region Selection,Cut Region Selection
Studio.TerrainEditor.PluginActions.CutText,,,Cut,Cut
Studio.TerrainEditor.PluginActions.DeleteStatusTip,,,Delete Region Selection,Delete Region Selection
Studio.TerrainEditor.PluginActions.DeleteText,,,Delete,Delete
Studio.TerrainEditor.PluginActions.PasteStatusTip,,,Paste Region Selection,Paste Region Selection
Studio.TerrainEditor.PluginActions.PasteText,,,Paste,Paste
Studio.TerrainEditor.PluginActions.DuplicateStatusTip,,,Duplicate Region Selection,Duplicate Region Selection
Studio.TerrainEditor.PluginActions.DuplicateText,,,Duplicate,Duplicate
Studio.TerrainEditor.PluginActions.ApplyStatusTip,,,Apply Region Transform,Apply Region Transform
Studio.TerrainEditor.PluginActions.ApplyText,,,Apply,Apply
Studio.TerrainEditor.PluginActions.CancelStatusTip,,,Cancel Region Transform,Cancel Region Transform
Studio.TerrainEditor.PluginActions.CancelText,,,Cancel,Cancel
Studio.TerrainEditor.FillMode.Fill,,,Fill,Fill
Studio.TerrainEditor.FillMode.Replace,,,Replace,Replace
Studio.TerrainEditor.MaterialMode.Paint,,,Paint,Paint
Studio.TerrainEditor.MaterialMode.Replace,,,Replace,Replace
Studio.TerrainEditor.EditorEnum.FillMode,,,Fill Mode,Fill Mode
Studio.TerrainEditor.EditorEnum.MaterialMode,,,Material Mode,Material Mode
Studio.TerrainEditor.MaterialSettings.FillMode,,,Fill Mode,Fill Mode
Studio.TerrainEditor.MaterialSettings.MaterialMode,,,Material Mode,Material Mode
Studio.TerrainEditor.Tabs.Create,,,Create,Create
Studio.TerrainEditor.Tabs.Edit,,,Edit,Edit
Studio.TerrainEditor.MaterialSettings.Fill,,,Fill,Fill
Studio.TerrainEditor.MaterialSettings.Paint,,,Paint,Paint
Studio.TerrainEditor.MaterialSettings.Replace,,,Replace,Replace
Studio.TerrainEditor.Operations.MoveName,,,Move,Move
Studio.TerrainEditor.Operations.MoveDescription,,,Moving voxels to the target transform.,Moving voxels to the target transform.
