Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.CGE.RenameWarningDialog.WarningMessage,,,Renaming this group won't change the collison group name for parts in the Toolbox or Asset Manager. Only the collision group for parts in the Datamodel will be renamed.,Renaming this group won't change the collison group name for parts in the Toolbox or Asset Manager. Only the collision group for parts in the Datamodel will be renamed.,لن تؤدي إعادة تسمية هذه المجموعة إلى تغيير اسم مجموعة التصادم للأجزاء في Toolbox أو مدير الأصول. سيتم فقط إعادة تسمية مجموعة التصادم للأجزاء في Datamodel.,Die Umbenennung dieser Gruppe ändert nicht den Namen der Kollisionsgruppe für Teile in der Toolbox oder im Asset Manager. Nur die Kollisionsgruppe für Teile im Datamodel wird umbenannt.,Cambiar el nombre de este grupo no cambiará el nombre del grupo de colisiones para piezas en la Caja de herramientas o el Gestor de recursos. Solo el grupo de colisión de piezas en el Datamodel será renombrado.,Le changement de nom de ce groupe ne changera pas le nom du groupe de collisions pour les parties de la Boîte à outils ou du Gestionnaire de contenus. Seul le groupe de collision pour les pièces dans le Datamodel sera renommé.,इस ग्रुप का नाम बदलने से टूलबॉक्स या ऐसेट मैनेजर के पार्ट्स के लिए कॉलिज़न ग्रुप का नाम नहीं बदलेगा. केवल डेटामॉडल के पार्ट्स के लिए कॉलिज़न ग्रुप का नाम बदला जाएगा.,Perubahan nama grup ini tidak akan mengubah nama grup benturan untuk komponen di Toolbox atau Manajer Aset. Hanya grup benturan untuk komponen dalam Datamodel yang akan diubah namanya.,Rinominare questo gruppo non cambierà il nome del gruppo collison per le parti nel pannello degli strumenti o nel gestore risorse. Solo il gruppo di collisione per le parti di Datamodel verrà rinominato.,このグループ名を変更してもツールボックスまたはアセット管理にあるパーツの衝突グループ名は変更されません。 Datamodel 内のパーツの衝突グループ名だけが変更されます。,이 그룹의 이름을 바꿔도 도구 상자 또는 애셋 관리자의 파트에 대한 충돌 그룹 이름은 변경되지 않습니다. Datamodel의 파트에 대한 충돌 그룹 이름만 변경됩니다.,Zmiana nazwy tej grupy nie zmieni nazwy grupy kolidującej w przypadku części w przyborniku lub menedżerze zasobów. Zmiana nazwy będzie dotyczyć wyłącznie grupy kolidującej w przypadku części w modelu danych.,Renomear este grupo não irá alterar o nome do grupo de colisões para peças na Caixa de ferramentas ou Gerenciador de ativos. Somente o grupo de colisões para partes no Datamodel será renomeado.,,การตั้งชื่อกลุ่มนี้ใหม่จะไม่เปลี่ยนแปลงชื่อกลุ่มการชนกันของส่วนประกอบในเครื่องมือจัดการทรัพยากรกล่องเครื่องมือ มีเพียงกลุ่มการชนกันของส่วนประกอบในโมเดลข้อมูลท่านั้นที่จะถูกเปลี่ยนชื่อ,"Grubu yeniden adlandırmak, Araç Kutusu'ndaki veya Varlık Yöneticisi'ndeki parçaların çarpışma grubu adlarını değiştirmeyecek. Yalnızca veri modelindeki parçaların çarpışma grupları yeniden adlandırılabilir.",Việc đổi tên nhóm này sẽ không làm thay đổi tên nhóm va chạm đối với các bộ phận trong Hộp Công Cụ hoặc Trình Quản Lý Tài sản. Chỉ nhóm va chạm đối với các bộ phận trong Datamodel sẽ được đổi tên.,重命名此组合不会更改工具箱或素材管理器中部件的碰撞组名。只有 Datamodel 中的部件碰撞组将被重新命名。,重命名此组合不会更改工具箱或素材管理器中部件的碰撞组名。只有 Datamodel 中的部件碰撞组将被重新命名。,重新命名此組合不會變更工具箱或素材管理員中的零件的碰撞組合名稱。只有資料模型中的零件的碰撞組合會重新命名。
Studio.CGE.RenameWarningDialog.DontShowThisWarningAgain,,,Don't show this warning again,Don't show this warning again,عدم عرض هذا التحذير مرة أخرى,Diese Warnung nicht mehr anzeigen,No volver a mostrar esta advertencia,Ne plus afficher cet avertissement,यह वॉर्निंग फिर से न दिखाएँ,Jangan tampilkan peringatan ini lagi,Non mostrarlo più questo avviso,この警告を次からは表示しない,이 경고를 다시 표시하지 않습니다,Nie pokazuj tego ostrzeżenia ponownie,Não mostrar isto novamente,,ไม่ต้องแสดงคำเตือนนี้อีก,Bu uyarıyı tekrar gösterme,Không hiển thị cảnh báo này nữa,不再显示此警告,不再显示此警告,不要再顯示此警告
Studio.CGE.RenameWarningDialog.DialogWindowTitle,,,Renaming Groups Has Changed,Renaming Groups Has Changed,تم تغيير إعادة تسمية المجموعات,Umbenennen von Gruppen hat sich geändert,Renombrar grupos cambió,Renommer les groupes a changé,ग्रुप्स का नाम बदलने का प्रोसेस बदल गया है,Perubahan Nama Grup Telah Diubah,La rinomina dei gruppi è cambiata,グループ名の変更が変わりました,그룹 이름 변경 완료,Zmiana nazwy grup została zmieniona,Renomear grupos alterados,,เปลี่ยนแปลงกลุ่มที่เปลี่ยนชื่อแล้ว,Grup yeniden adlandırma değişti,Việc Đổi Tên Nhóm Đã Thay Đổi,重新命名组合已更改,重新命名组合已更改,重新命名組合已變更
Studio.CGE.RenameWarningDialog.Ok,,,Ok,Ok,موافق,OK,Aceptar,Ok,ठीक है,Oke,Ok,了解,확인,OK,OK,,ตกลง,Tamam,Ok,确定,确定,確定
Studio.CGE.Info.CannotModifyInPlayModeMessage,,,Cannot modify Collision Groups while in Play mode,Cannot modify Collision Groups while in Play mode,لا يمكن تعديل مجموعات التصادم أثناء وضع التشغيل,Kollisionsgruppen können im Spielmodus nicht geändert werden,No se pueden modificar los grupos de colisión en el Modo de juego,Impossible de modifier les Groupes de Collision en mode Play,प्ले मोड में रहते हुए कॉलिज़न ग्रुप्स को संशोधित नहीं किया जा सकता है,Tidak dapat memodifikasi Grup Benturan saat berada di Mode Main,Impossibile modificare i gruppi di collisione durante la modalità di riproduzione,プレイモード中は衝突グループを変更できません,플레이 모드에서는 충돌 그룹을 수정할 수 없습니다,Nie można modyfikować grup kolidujących w trybie grania,Não é possível modificar os grupos de colisão no modo Jogar,,ไม่สามารถแก้ไขกลุ่มการชนกันได้ขณะที่อยู่ในโหมดการเล่น,Oynatma modunda çarpışma grupları düzenlenemez,Không thể sửa đổi Nhóm Va Chạm khi đang ở chế độ Phát,在游玩模式中无法修改碰撞群组,在游玩模式中无法修改碰撞群组,在遊玩模式中無法修改碰撞群組
Studio.CGE.Common.LearnMore,,,Learn more,Learn more,معرفة المزيد,Mehr erfahren,Aprende más,En apprendre plus,ज़्यादा जानें,Pelajari selengkapnya,Maggiori informazioni,もっと詳しく,자세한 정보,Dowiedz się więcej,Saiba mais,,เรียนรู้เพิ่มเติม,Daha fazla bilgi edin,Tìm hiểu thêm,了解更多,了解更多,深入了解
Studio.CGE.Groups.CursorGroupText,,,Is selectable in viewport,Is selectable in viewport,قابل للتحديد في إطار العرض,Ist im Ansichtsfenster auswählbar,Es seleccionable en vista,Est sélectionnable dans la fenêtre de visualisation,व्यूपोर्ट में चुना जा सकता है,Dapat dipilih di viewport,È selezionabile nella finestra,ビューポートで選択可能,뷰포트에서 선택 가능,Możliwość zaznaczenia w oknie podglądu,É selecionável na visualização,,สามารถเลือกได้ใน Viewport,Görünüm penceresinde seçilebilir,Có thể lựa chọn trong khung nhìn,在视区内可选,在视区内可选,可在視角中選取
Studio.CGE.Groups.CursorGroupTitle,,,Selectable Collision Groups,Selectable Collision Groups,مجموعات التصادم القابلة للتحديد,Auswählbare Kollisionsgruppen,Grupos de colisión seleccionables,Groupes de collisions sélectionnables,चुने जा सकने वाले कॉलिज़न ग्रुप्स,Grup Benturan yang Dapat Dipilih,Gruppi di collisione selezionabili,選択可能な衝突グループ,선택 가능한 충돌 그룹,Kolidujące grupy z możliwością zaznaczenia,Grupos de colisão selecionáveis,,สามารถเลือกได้ในกลุ่มการชนกัน,Seçilebilir çarpışma grupları,Nhóm Va Chạm Có Thể Lựa Chọn,可选碰撞组,可选碰撞组,可選取的碰撞群組
Studio.CGE.Groups.CursorGroupInfo,,,Choose collision groups that can be selected in the viewport.,Choose collision groups that can be selected in the viewport.,اختر مجموعات التصادم التي يمكن تحديدها في إطار العرض.,"Wähle Kollisionsgruppen aus, die im Ansichtsfenster ausgewählt werden können.",Elige los grupos de colisión que se pueden seleccionar en la ventana.,Choisir des groupes de collisions qui peuvent être sélectionnés dans la fenêtre.,व्यूपोर्ट में चुने जा सकने वाले कॉलिज़न ग्रुप चुनें.,Pilih grup benturan yang dapat dipilih di viewport.,Scegli i gruppi di collisione che possono essere selezionati nella finestra.,ビューポートで選択できる衝突グループを選択。,뷰포트에서 선택할 수 있는 충돌 그룹을 선택하세요.,"Wybierz kolidujące grupy, które można zaznaczyć w oknie podglądu.",Escolha grupos de colisão que podem ser selecionados na janela de visualização.,,เลือกกลุ่มการชนกันที่สามารถเลือกได้ใน Viewport,Görünüm penceresinde seçilebilir çarpışma gruplarını seç.,Chọn các nhóm va chạm có thể được chọn trong khung nhìn.,选择在视区内可选的碰撞组。,选择在视区内可选的碰撞组。,選擇可在視角中選取的碰撞群組。
Studio.CGE.CannotConfigureSelectionDialog.DialogWindowTitle,,,Cannot Configure the {1} Group,Cannot Configure the {1} Group,لا يمكن تهيئة المجموعة {1},Die Gruppe {1} kann nicht konfiguriert werden,No se puede configurar el grupo {1},Impossible de configurer le groupe {1},{1} ग्रुप को कॉन्फ़िगर नहीं किया जा सका,Tidak Dapat Mengonfigurasi Grup {1},Impossibile configurare il gruppo {1},{1} 件のグループを環境設定できません,{1} 그룹을 구성할 수 없습니다,Nie można skonfigurować grupy {1},Não é possível configurar o Grupo {1},,ไม่สามารถกำหนดค่ากลุ่ม {1} ได้,{1} grubu yeniden yapılandırılamıyor,Không Thể Định Cấu Hình Nhóm {1},无法配置 {1} 组,无法配置 {1} 组,無法設定 {1} 群組
