Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PluginInstallation.Manage.WindowTitle,,,Plugin Management,Plugin Management,إدارة المكونات الإضافية,Plugin-Verwaltung,Gestor de plugins,Gestion des plugins,प्लग-इन मैनेजमेंट,Pengelolaan Plugin,Gestione plugin,プラグイン管理,플러그인 관리,Zarządzanie dodatkami plug-in,Gerenciador de plugins,Управление плагинами,การจัดการปลั๊กอิน,Eklenti Yönetimi,Quản Lý Plugin,插件管理,插件管理,外掛程式管理
Studio.PluginInstallation.Toolbar.ToolbarTitle,,,Tools,Tools,الأدوات,Werkzeuge,Herramientas,Outils,टूल्स,Alat,Strumenti,ツール,도구,Narzędzia,Ferramentas,Инструменты,เครื่องมือ,Araçlar,Công Cụ,工具,工具,工具
Studio.PluginInstallation.Toolbar.ManageButtonTitle,,,Manage Plugins,Manage Plugins,إدارة المكونات الإضافية,Plugins verwalten,Gestionar plugins,Gérer les plugins,प्लग-इन मैनेज करें,Kelola Plugin,Gestisci plugin,プラグイン管理,플러그인 관리,Zarządzaj dodatkami plug-in,Gerenciar plugins,Управление плагинами,จัดการปลั๊กอิน,Eklentileri Yönet,Quản Lý Plugin,管理插件,管理插件,管理外掛程式
Studio.PluginInstallation.Toolbar.ManageButtonDescription,,,Manage plugins installed from roblox.com,Manage plugins installed from roblox.com,إدارة المكونات الإضافية المُثبَّتة من roblox.com,Von roblox.com installierte Plugins verwalten,Gestiona plugins instalados desde roblox.com,Gérer les plugins installés de roblox.com,Roblox.com से इंस्टॉल किए गए प्लग-इन मैनेज करें,Mengelola plugin yang diinstal dari roblox.com,Gestisci plugin installati su roblox.com,Roblox.comからインストールしたプラグインを管理,roblox.com에서 설치한 플러그인 관리,Zarządzaj dodatkami plug-in zainstalowanymi ze strony roblox.com,Gerenciar plugins instalados a partir de roblox.com,Управление установленными плагинами с сайта roblox.com,จัดการปลั๊กอินที่ติดตั้งจาก Roblox.com,Roblox.com'dan kurulan eklentileri yönet,Quản lý các plugin được cài đặt từ roblox.com,管理从 roblox.com 安装的插件,管理从 roblox.com 安装的插件,管理從 roblox.com 安裝的外掛程式
Studio.PluginInstallation.Main.Title,,,Plugins,Plugins,المكونات الإضافية,Plugins,Plugins,Plugins,प्लग-इन,Plugin,Plugin,プラグイン,플러그인,Dodatki plug-in,Plugins,Плагины,ปลั๊กอิน,Eklentiler,Plugin,插件,插件,外掛程式
Studio.PluginInstallation.Main.UpdateAllButton,,,Update all,Update all,تحديث الكل,Alle aktualisieren,Actualizar todos,Tout mettre à jour,सभी अपडेट करें,Update semua,Aggiorna tutto,すべて更新,모두 업데이트,Zaktualizuj wszystko,Atualizar tudo,Обновить все,อัปเดตทั้งหมด,Tümünü güncelle,Cập nhật tất cả,全部更新,全部更新,全部更新
Studio.PluginInstallation.Main.NoPluginsMessage,,,You haven’t installed any plugins yet.,You haven’t installed any plugins yet.,لم تقم بتثبيت أي مكونات إضافية حتى الآن.,Du hast noch keine Plugins installiert.,Todavía no has instalado ningún plugin.,Tu n'as pas encore installé de plugins.,आपने अभी तक कोई प्लग-इन इंस्टॉल नहीं किया है.,Kamu belum menginstal plugin apa pun.,Non hai ancora installato alcun plugin.,まだプラグインをインストールしていません。,설치된 플러그인이 없습니다.,Nie masz jeszcze zainstalowanych dodatków plug-in.,Você ainda não instalou plugins.,Ни один плагин пока не установлен.,คุณยังไม่ได้ติดตั้งปลั๊กอินใดๆ,Henüz eklenti kurmadın.,Bạn chưa cài đặt bất kỳ plugin nào cả.,你尚未安装任何插件。,你尚未安装任何插件。,您尚未安裝外掛程式。
Studio.PluginInstallation.Main.FindPluginsMessage_Old,,,Find plugins now,Find plugins now,البحث عن مكونات إضافية الآن,Jetzt Plugins suchen,Buscar plugins ahora,Trouver des plugins,अभी प्लग-इन खोजें,Temukan plugin sekarang,Trova plugin ora,今、プラグインを見つける,지금 플러그인 찾기,Znajdź dodatki plug-in teraz,Pesquisar plugins,Найти плагины,ค้นหาปลั๊กอินตอนนี้,Hemen eklenti bul,Tìm các plugin ngay,立即查找插件,立即查找插件,現在尋找外掛程式
Studio.PluginInstallation.Main.FindPluginsMessage,,,"To find more plugins, open Toolbox > Marketplace > Plugins.","To find more plugins, open Toolbox > Marketplace > Plugins.",للعثور على المزيد من المكونات الإضافية، افتح صندوق الأدوات > المتجر > المكونات الإضافية.,"Um mehr Plugins zu finden, öffne Toolbox > Marktplatz > Plugins.","Para encontrar más plugins, abre Herramientas > Mercado > Plugins.","Pour trouver davantage de plugins, ouvre Toolbox > Marketplace > Plugins.","ज़्यादा प्लग-इन खोजने के लिए, टूलबॉक्स > मार्केटप्लेस > प्लग-इन खोलें.","Untuk mencari plugin lainnya, buka Toolbox > Marketplace > Plugin.","To trovare altri plugin, apri Toolbox > Mercato > Plugin.",プラグインをもっと見つけるには、ツールボックスを開く > マーケットプレイス > プラグイン。,더 많은 플러그인을 찾으려면 도구 상자 > 마켓플레이스 > 플러그인을 여세요.,"Aby znaleźć więcej dodatków plug-in, otwórz kolejno Przybornik > Rynek > Dodatki plug-in.",Para encontrar mais plugins abra a Caixa de Ferramentas > Mercado > Plugins.,Для поиска плагинов откройте раздел «Панель инструментов» > «Магазин» > «Плагины».,หากต้องการค้นหาปลั๊กอินเพิ่มเติม เปิดกล่องเครื่องมือ > มาร์เก็ตเพลส > ปลั๊กอิน,Daha fazla eklenti bulmak için Araç Kutusu > Pazar Yeri > Eklentiler adımlarını izle.,"Để tìm thêm plugin, hãy mở Hộp Công Cụ > Sàn Giao Dịch > Plugin.",要查找更多插件，请打开“工具箱 > 商城 > 插件”。,要查找更多插件，请打开“工具箱 > 商城 > 插件”。,若要尋找更多外掛程式，請前往工具箱 > 商城 > 外掛程式。
Studio.PluginInstallation.Loading.Title,,,Updating Plugins,Updating Plugins,تحديث المكونات الإضافية,Plugins werden aktualisiert,Actualizando plugins,Mise à jour des plugins,प्लग-इन अपडेट किया जा रहा है,Meng-update Plugin,Aggiornamento plugin,プラグインを更新中,플러그인 업데이트,Aktualizowanie dodatków plug-in,Atualizando plugins,Обновляются плагины,การอัปเดตปลั๊กอิน,Eklentiler güncelleniyor,Cập Nhật Plugin,正在更新插件,正在更新插件,正在更新外掛程式
Studio.PluginInstallation.Loading.UpdatingMessage,,,Updating plugins...,Updating plugins...,جارٍ تحديث المكونات الإضافية...,Plugins werden aktualisiert ...,Actualizando plugins...,Mise à jour des plugins...,प्लग-इन अपडेट किए जा रहे हैं...,Meng-update plugin...,Aggiornamento plugin...,プラグインを更新中...,플러그인 업데이트 중...,Aktualizowanie dodatków plug-in...,Atualizando plugins...,Обновляются плагины...,กำลังอัปเดตปลั๊กอิน...,Eklentiler güncelleniyor...,Đang cập nhật plugin...,正在更新插件…,正在更新插件…,正在更新外掛程式……
Studio.PluginInstallation.Entry.UpdateButton,,,Update,Update,تحديث,Aktualisieren,Actualizar,Mise à jour,अपडेट करें,Update,Aggiorna,更新,업데이트,Aktualizuj,Atualizar,Обновить,อัปเดต,Güncelle,Cập Nhật,更新,更新,更新
Studio.PluginInstallation.Entry.LastUpdatedDate,,,Updated: {date:shortdate},Updated: {date:shortdate},تاريخ التحديث: {date:shortdate},Aktualisiert: {date:shortdate},Actualizado: {date:shortdate},Mis à jour : {date:shortdate},अपडेट किया गया : {date:shortdate},Di-update: {date:shortdate},Aggiornamento: {date:shortdate},更新済み: {date:shortdate},업데이트됨: {date:shortdate},Zaktualizowano: {date:shortdate},Atualizado(s): {date:shortdate},Обновлено: {date:shortdate},อัปเดต: {date:shortdate},Güncellendi: {date:shortdate},Đã Cập Nhật: {date:shortdate},更新日期：{date:shortdate},更新日期：{date:shortdate},更新日期：{date:shortdate}
Studio.PluginInstallation.Entry.UpdateError,,,Error. Try updating again.,Error. Try updating again.,خطأ. حاول التحديث مرة أخرى.,Fehler. Versuche es erneut zu aktualisieren.,Error. Intenta actualizar de nuevo.,Erreur. Réessaie de mettre à jour.,गड़बड़ी हुई. फिर से अपडेट करने की कोशिश करें.,Eror. Coba update lagi.,Errore. Prova ad aggiornare di nuovo.,エラー。もう一度、更新してみてください。,오류. 업데이트를 다시 시도하세요.,Błąd. Spróbuj zaktualizować ponownie.,Erro. Tente atualizar novamente.,Ошибка. Повторите обновление позже.,เกิดข้อผิดพลาด โปรดลองอัปเดตอีกครั้ง,Hata. Güncellemeyi yeniden dene.,Lỗi. Hãy thử cập nhật lại.,发生错误。请尝试再次更新。,发生错误。请尝试再次更新。,發生錯誤，請重新嘗試更新。
Studio.PluginInstallation.Entry.UpdateSuccess,,,Update complete!,Update complete!,اكتمل التحديث!,Update abgeschlossen!,¡Actualización completada!,Mise à jour complète !,अपडेट पूरा हुआ!,Update selesai!,Aggiornamento completato!,更新完了！,업데이트 완료!,Zaktualizowano!,Atualização completa!,Обновление завершено!,การอัปเดตเสร็จสมบูรณ์!,Güncelleme tamamlandı!,Đã cập nhật xong!,更新完成！,更新完成！,更新完成！
Studio.PluginInstallation.Entry.ModeratedWarning,,,This plugin has been moderated and can’t be run anymore.,This plugin has been moderated and can’t be run anymore.,تم الإشراف على هذا المكون الإضافي ولا يمكن تشغيله بعد الآن.,Dieses Plugin wurde moderiert und kann nicht mehr ausgeführt werden.,Este plugin se moderó y ya no se puede ejecutar.,Ce plugin a été modéré et ne peut plus être lancé.,इस प्लग-इन को मॉडरेट कर दिया गया है और इसे अब चलाया नहीं जा सकता.,Plugin ini telah dimoderasi dan tidak bisa dijalankan lagi.,Questo plugin è stato moderato e non può essere eseguito più.,このプラグインは内容規制されたため、もう実行できません。,플러그인이 검열되어 더 이상 실행할 수 없습니다.,Ten dodatek plug-in został poddany moderacji i nie można go już uruchomić.,Este plugin foi moderado e não pode mais ser executado.,Этот плагин содержит вредоносный контент и больше не может быть запущен.,ปลั๊กอินนี้ได้รับการกลั่นกรองแล้ว และไม่สามารถใช้งานได้อีกต่อไป,Bu eklenti denetime uğradı ve artık çalıştırılamıyor.,Plugin này đã được kiểm duyệt và không thể chạy nữa.,此插件已被审核，无法再运行。,此插件已被审核，无法再运行。,此外掛程式已受到仲裁，不能再執行。
Studio.PluginInstallation.EntrySeeMore.DetailsButton,,,Details,Details,التفاصيل,Details,Detalles,Détails,जानकारी,Detail,Dettagli,詳細,세부 정보,Szczegóły,Detalhes,Подробнее,รายละเอียด,Ayrıntılar,Chi Tiết,详情,详情,詳細資料
Studio.PluginInstallation.EntrySeeMore.RemoveButton,,,Uninstall,Uninstall,إزالة التثبيت,Deinstallieren,Desinstalar,Désinstaller,अनइंस्टॉल करें,Uninstal,Disinstalla,アンインストール,제거,Odinstaluj,Desinstalar,Удалить,ถอนการติดตั้ง,Kaldır,Gỡ Cài Đặt,卸载,卸载,解除安裝
Studio.PluginInstallation.Header.PendingUpdates,,,Pending updates,Pending updates,التحديثات المُعلقة,Ausstehende Updates,Actualizaciones pendientes,Mises à jour en attente,अपडेट पेंडिंग है,Update pending,Aggiornamenti in sospeso,保留中の更新,업데이트 보류 중,Oczekiwanie na aktualizacje,Atualizações pendentes,Ожидающие обновления,การอัปเดตที่รอดำเนินการ,Bekleyen güncellemeler,Cập nhật đang chờ xử lý,待更新,待更新,待套用更新
Studio.PluginInstallation.Header.UpToDate,,,Up to date,Up to date,مُحدَّث,Aktuell,Actualizado,Mis à jour,अप-टू-डेट,Terkini,Aggiornato,最新,최신 상태,Aktualne,Atualizado,Обновлено,เป็นเวอร์ชันล่าสุด,Güncel,Cập nhật,最新版本,最新版本,最新
Studio.PluginInstallation.Moved.Title,,,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio,Roblox Studio
Studio.PluginInstallation.Moved.MovedMessage,,,We've moved.,We've moved.,لقد انتقلنا.,Wir sind umgezogen.,Nos trasladamos.,Nous avons déménagé.,हमने वहाँ से मूव कर लिया है.,Kami sudah pindah.,Ci siamo spostati.,移動しました。,이동시켰습니다.,Przenieśliśmy się.,Nos mudamos.,Мы переехали.,เราได้ทำการย้ายแล้ว,Taşındık.,Chúng ta đã di chuyển.,我们已经搬移。,我们已经搬移。,我們搬家了。
Studio.PluginInstallation.Moved.NewLocationMessage,,,Get plugins from Marketplace under Toolbox.,Get plugins from Marketplace under Toolbox.,احصل على المكونات الإضافية من المتجر ضمن صندوق الأدوات.,Hol dir Plugins vom Marktplatz unter Toolbox.,"Obtén plugins de Mercado, bajo Herramientas.",Trouver des plugins du Marketplace sous Toolbox.,टूलबॉक्स के अंतर्गत मार्केटप्लेस से प्लग-इन पाएँ.,Dapatkan plugin dari Marketplace di Toolbox.,Ottieni i plugin dal mercato sotto Toolbox.,ツールボックスの下のマーケットプレイスからプラグインを取得。,도구 상자 아래의 마켓플레이스에서 플러그인을 받으세요.,Pobieraj dodatki plug-in z Rynku w obszarze Przybornik.,Obtenha plugins do Mercado na Caixa de ferramentas.,Плагины находятся в разделе «Панель инструментов» > «Магазин».,รับปลั๊กอินจากมาร์เก็ตเพลสภายใต้กล่องเครื่องมือ,Eklenti almak için Araç Kutusu > Pazar Yeri adımlarını izle.,Nhận các plugin từ Sàn Giao Dịch trong Hộp Công Cụ.,请到“工具箱”下的“商城”中获取插件。,请到“工具箱”下的“商城”中获取插件。,請在工具箱裡的商城取得外掛程式。
Studio.PluginInstallation.Moved.GotIt,,,Got it,Got it,حسنًا,Verstanden,¡Entendido!,J'ai trouvé,ठीक है,Oke,Capito,了解,확인,Rozumiem,Entendi,Ясно,เข้าใจแล้ว,Anladım,Đã hiểu,了解,了解,知道了
Studio.PluginInstallation.Details.Back,,,Back,Back,رجوع,Zurück,Volver,Retour,वापस जाएँ,Kembali,Indietro,戻る,뒤로,Wstecz,Voltar,Назад,ย้อนกลับ,Geri,Lưng,返回,返回,返回
Studio.PluginInstallation.Details.Creator,,,Creator,Creator,المصمّم,Creator,Creador,Créateur,क्रिएटर,Kreator,Creatore,クリエーター,크리에이터,Twórca,Criador,Автор,ครีเอเตอร์,Oluşturan,Nhà Sáng Tạo,创作者,创作者,創作者
Studio.PluginInstallation.Details.Description,,,Description,Description,الوصف,Beschreibung,Descripción,Description,विवरण,Deskripsi,Descrizione,詳細,설명,Opis,Descrição,Описание,คำอธิบาย,Açıklama,Mô Tả,描述,描述,說明
Studio.PluginInstallation.Details.HttpRequests,,,HTTP Requests,HTTP Requests,طلبات HTTP,HTTP-Anfragen,Solicitudes HTTP,Demandes HTTP,HTTP रिक्वेस्ट,Permintaan HTTP,Richieste HTTP,HTTPリクエスト,HTTP 요청,Żądania HTTP,Requisições HTTP,HTTP-запросы,คำขอ HTTP,HTTP İstekleri,Yêu Cầu HTTP,HTTP 请求,HTTP 请求,HTTP 請求
