Key,Context,Source,en-us
Studio.App.RobloxRibbonMainWindow.InternalFeaturesMessageBoxContent,,"Your account is associated with an @roblox.com email address or has Soothsayer permissions. You also have internal-only features turned on.
Do you want to disable Internal Features? This will make your Studio experience identical to developers.
You can go to Settings > Studio > Advanced to re-enable Internal Features.","Your account is associated with an @roblox.com email address or has Soothsayer permissions. You also have internal-only features turned on.
Do you want to disable Internal Features? This will make your Studio experience identical to developers.
You can go to Settings > Studio > Advanced to re-enable Internal Features."
Studio.App.RobloxRibbonMainWindow.InternalFeaturesRestart,,Restart Roblox Studio,Restart Roblox Studio
Studio.App.RobloxRibbonMainWindow.InternalFeaturesRestartDetails,,Roblox Studio need to restart to disable Internal Features,Roblox Studio need to restart to disable Internal Features
Studio.App.RobloxRibbonMainWindow.IntersectParts,,Replace parts with only the area where they overlap,Replace parts with only the area where they overlap
Studio.App.RobloxRibbonMainWindow.Join,Join,Join,Join
Studio.App.RobloxRibbonMainWindow.JoinBasedOnSurfaceType,,Join based on surface type,Join based on surface type
Studio.App.RobloxRibbonMainWindow.JoinSurfaces,,Join Surfaces,Join Surfaces
Studio.App.RobloxRibbonMainWindow.JoinSurfacesTooltip,,Make parts join together at touching surfaces,Make parts join together at touching surfaces
Studio.App.RobloxRibbonMainWindow.JumpToNextScriptLocation,,Jump to next script location,Jump to next script location
Studio.App.RobloxRibbonMainWindow.JumpToPreviousScriptLocation,,Jump to previous script location,Jump to previous script location
Studio.App.RobloxRibbonMainWindow.LayeredClothingEditor,,Accessory Fitting Tool,Accessory Fitting Tool
Studio.App.RobloxRibbonMainWindow.LayeredClothingEditorTooltip,,Edit and Preview Cage Mesh for Clothing and Accessories.,Edit and Preview Cage Mesh for Clothing and Accessories.
Studio.App.RobloxRibbonMainWindow.Layout,,Layouts,Layouts
Studio.App.RobloxRibbonMainWindow.LayoutManager,,Layout Manager,Layout Manager
Studio.App.RobloxRibbonMainWindow.LineForce,,Line Force,Line Force
Studio.App.RobloxRibbonMainWindow.LinearVelocity,,Linear Velocity,Linear Velocity
Studio.App.RobloxRibbonMainWindow.LocalScript,,Local Script,Local Script
Studio.App.RobloxRibbonMainWindow.LocalServer,,Local Server,Local Server
Studio.App.RobloxRibbonMainWindow.Lock,,Lock,Lock
Studio.App.RobloxRibbonMainWindow.LockModeTooltip,"Allows the user to lock objects, which makes them unselectable",Toggle whether an object can be selected,Toggle whether an object can be selected
Studio.App.RobloxRibbonMainWindow.LockTool,,Lock Tool,Lock Tool
Studio.App.RobloxRibbonMainWindow.ManageCloudPlugins,,Manage installed plugins,Manage installed plugins
Studio.App.RobloxRibbonMainWindow.Material,,Material,Material
Studio.App.RobloxRibbonMainWindow.MaterialActionAsTool,,Material Action as Tool,Material Action as Tool
Studio.App.RobloxRibbonMainWindow.MaterialGenerator,,Material Generator,Material Generator
Studio.App.RobloxRibbonMainWindow.MaterialGeneratorToolTip,,Create AI generated materials through a text prompt,Create AI generated materials through a text prompt
Studio.App.RobloxRibbonMainWindow.MaterialManager,,Material Manager,Material Manager
Studio.App.RobloxRibbonMainWindow.MaterialManagerToolTip,,"Manage, select, and apply materials","Manage, select, and apply materials"
Studio.App.RobloxRibbonMainWindow.MaterialPicker,,Material,Material
Studio.App.RobloxRibbonMainWindow.MaterialPickerTooltip,,Select a material to use,Select a material to use
Studio.App.RobloxRibbonMainWindow.MeshImporter,,Mesh Importer,Mesh Importer
Studio.App.RobloxRibbonMainWindow.MeshImporterTooltip,,Import a mesh rig or avatar from a file using the import UI.,Import a mesh rig or avatar from a file using the import UI.
Studio.App.RobloxRibbonMainWindow.Model,,Model,Model
Studio.App.RobloxRibbonMainWindow.ModuleScript,,Module Script,Module Script
Studio.App.RobloxRibbonMainWindow.Motor,,Motor,Motor
Studio.App.RobloxRibbonMainWindow.Move,,Move,Move
Studio.App.RobloxRibbonMainWindow.MoveAnObject,,Move an Object,Move an Object
Studio.App.RobloxRibbonMainWindow.Mute,,Mute,Mute
Studio.App.RobloxRibbonMainWindow.Navigate,,Navigate,Navigate
Studio.App.RobloxRibbonMainWindow.NegatePartsForMakingHoles,,Negate parts for making holes,Negate parts for making holes
Studio.App.RobloxRibbonMainWindow.Network,,Network,Network
Studio.App.RobloxRibbonMainWindow.NewUpdates,,What's New,What's New
Studio.App.RobloxRibbonMainWindow.NoCollision,,No Collision,No Collision
Studio.App.RobloxRibbonMainWindow.NoCollisionConstraint,,No Collision,No Collision
Studio.App.RobloxRibbonMainWindow.NoCollisionConstraintTooltip,,Create a no collision constraint,Create a no collision constraint
Studio.App.RobloxRibbonMainWindow.NoCollisionTooltip,,Create a no collision constraint,Create a no collision constraint
Studio.App.RobloxRibbonMainWindow.None,,None,None
Studio.App.RobloxRibbonMainWindow.OpenSaveManageDoc,,"Click here to open, save or publish, and to see everything else you can do with the document","Click here to open, save or publish, and to see everything else you can do with the document"
Studio.App.RobloxRibbonMainWindow.OpenTheLocalPluginsFolder,,Open the local plugins folder,Open the local plugins folder
Studio.App.RobloxRibbonMainWindow.Outlines,,Outlines,Outlines
Studio.App.RobloxRibbonMainWindow.OutlinesTooltip,,Sets selection rendering mode to outlines,Sets selection rendering mode to outlines
Studio.App.RobloxRibbonMainWindow.OutputFeedOfScripts,,See the output feed of your scripts,See the output feed of your scripts
Studio.App.RobloxRibbonMainWindow.Part,,Part,Part
Studio.App.RobloxRibbonMainWindow.ParticleEmitter,Name of the action to insert a Particle Emitter into the workspace,ParticleEmitter,ParticleEmitter
Studio.App.RobloxRibbonMainWindow.Parts,,Parts,Parts
Studio.App.RobloxRibbonMainWindow.PasteItemInClipboard,,Paste item in clipboard,Paste item in clipboard
Studio.App.RobloxRibbonMainWindow.Physics,,Physics,Physics
Studio.App.RobloxRibbonMainWindow.PivotGroup,,Pivot,Pivot
Studio.App.RobloxRibbonMainWindow.PlaceConstraintAttachment,,Place a constraint or an attachment,Place a constraint or an attachment
Studio.App.RobloxRibbonMainWindow.PlacePart,,Place part,Place part
Studio.App.RobloxRibbonMainWindow.PlacePartWorkspace,,Place a part into the workspace,Place a part into the workspace
Studio.App.RobloxRibbonMainWindow.Plane,,Plane,Plane
Studio.App.RobloxRibbonMainWindow.PlayTheGameInsideTheWindow,,Play the game inside the window,Play the game inside the window
Studio.App.RobloxRibbonMainWindow.PlayerEmulator,,Player,Player
Studio.App.RobloxRibbonMainWindow.Plugins,,Plugins,Plugins
Studio.App.RobloxRibbonMainWindow.PluginsFolder,,Plugins Folder,Plugins Folder
Studio.App.RobloxRibbonMainWindow.PointLight,Name of the action to insert a point light into the workspace,PointLight,PointLight
Studio.App.RobloxRibbonMainWindow.PreciselyManipulateAnObject,,Precisely manipulate an object,Precisely manipulate an object
Studio.App.RobloxRibbonMainWindow.Prismatic,,Prismatic,Prismatic
Studio.App.RobloxRibbonMainWindow.PushScriptTCServer,,Push the current edits to a script to the Team Create server,Push the current edits to a script to the Team Create server
Studio.App.RobloxRibbonMainWindow.R15Migrator,,R6-to-R15 Conversion,R6-to-R15 Conversion
