Key,Context,Source,en-us
Studio.App.RBXMainWindow.ExportAsObj,,Export as Obj,Export as Obj
Studio.App.RBXMainWindow.ExportForUploadElps,,(INTERNAL) Export for upload...,(INTERNAL) Export for upload...
Studio.App.RBXMainWindow.ExportSelection,,Export Selection,Export Selection
Studio.App.RBXMainWindow.ExportSelectionElps,,Export Selection...,Export Selection...
Studio.App.RBXMainWindow.ExportSelectionForUpload,,(INTERNAL) Export selection for upload via admin site,(INTERNAL) Export selection for upload via admin site
Studio.App.RBXMainWindow.ExportSelectionForUploadElps,,(INTERNAL) Export selection for upload...,(INTERNAL) Export selection for upload...
Studio.App.RBXMainWindow.FilterScriptFunctions,,Open Script Function Filter,Open Script Function Filter
Studio.App.RBXMainWindow.FilterScriptFunctionsNoFunctions,,No functions to filter,No functions to filter
Studio.App.RBXMainWindow.FindElps,,Find...,Find...
Studio.App.RBXMainWindow.FindNext,,Find Next,Find Next
Studio.App.RBXMainWindow.FindPrevious,,Find Previous,Find Previous
Studio.App.RBXMainWindow.FindPreviousItem,,Find previous item,Find previous item
Studio.App.RBXMainWindow.FindResults,,Find Results,Find Results
Studio.App.RBXMainWindow.FindResultsWindow,,Find results window,Find results window
Studio.App.RBXMainWindow.FocusOnCommandBar,,Focus on Command Bar,Focus on Command Bar
Studio.App.RBXMainWindow.FocusOnCommandBarTooltip,,Set keyboard focus to Command Bar,Set keyboard focus to Command Bar
Studio.App.RBXMainWindow.Format,,Format,Format
Studio.App.RBXMainWindow.FormatDocument,,Format Document,Format Document
Studio.App.RBXMainWindow.FormatDocumentElps,,Format Document...,Format Document...
Studio.App.RBXMainWindow.FormatSelectedRangeOfDocument,,Format selected range of document,Format selected range of document
Studio.App.RBXMainWindow.FormatSelection,,Format Selection,Format Selection
Studio.App.RBXMainWindow.FormatWholeDocument,,Format whole document,Format whole document
Studio.App.RBXMainWindow.FullScreen,,Full Screen,Full Screen
Studio.App.RBXMainWindow.Game,,Game,Game
Studio.App.RBXMainWindow.GameExplorer,,Game Explorer,Game Explorer
Studio.App.RBXMainWindow.GameSettings,,Game Settings...,Game Settings...
Studio.App.RBXMainWindow.GetLatestForSelectedPackages,,Get Latest For Selected Packages,Get Latest For Selected Packages
Studio.App.RBXMainWindow.GetLatestPackage,,Get Latest Package,Get Latest Package
Studio.App.RBXMainWindow.GlueSurface,,Glue Surface,Glue Surface
Studio.App.RBXMainWindow.GoToDeclaration,,Go to declaration,Go to declaration
Studio.App.RBXMainWindow.GoToLine,,Go to line,Go to line
Studio.App.RBXMainWindow.GoToLineElps,,Go to line...,Go to line...
Studio.App.RBXMainWindow.GoToNextDiffHunk,,Go to next diff hunk,Go to next diff hunk
Studio.App.RBXMainWindow.GoToNextScriptLocation,,Go to next script location,Go to next script location
Studio.App.RBXMainWindow.GoToPreviousDiffHunk,,Go to previous diff hunk,Go to previous diff hunk
Studio.App.RBXMainWindow.GoToPreviousScriptLocation,,Go to previous script location,Go to previous script location
Studio.App.RBXMainWindow.GoToReferenceObject,,Go To Reference Object,Go To Reference Object
Studio.App.RBXMainWindow.GoToScriptError,,Go to Script Error,Go to Script Error
Studio.App.RBXMainWindow.GridMaterial,,Grid Material,Grid Material
Studio.App.RBXMainWindow.GridOff,,Grid Off,Grid Off
Studio.App.RBXMainWindow.GridSize16Studs,,Grid Size - 16 Studs,Grid Size - 16 Studs
Studio.App.RBXMainWindow.GridSize2Studs,,Grid Size - 2 studs,Grid Size - 2 studs
Studio.App.RBXMainWindow.GridSize4Studs,,Grid Size - 4 Studs,Grid Size - 4 Studs
Studio.App.RBXMainWindow.Group,,Group As a Model,Group As a Model
Studio.App.RBXMainWindow.GroupFolder,,Group As a Folder,Group As a Folder
Studio.App.RBXMainWindow.GroupPartsOrModels,,Group the selected Instances under a new Model,Group the selected Instances under a new Model
Studio.App.RBXMainWindow.GroupShort,"Group together a set of Instances under a Model, shorter text to be used in the ribbon bar to save space",Group,Group
Studio.App.RBXMainWindow.GroupUnderFolder,,Group the selected Instances under a new Folder,Group the selected Instances under a new Folder
Studio.App.RBXMainWindow.HideOrientationIndicator,,Hide Orientation Indicator,Hide Orientation Indicator
Studio.App.RBXMainWindow.HingeOnSurface,,Hinge on Surface,Hinge on Surface
Studio.App.RBXMainWindow.IndentSelection,,Indent,Indent
Studio.App.RBXMainWindow.IndentSelectionToolTip,,Indent selected line(s),Indent selected line(s)
Studio.App.RBXMainWindow.IndentsOnSurface,,Indents on Surface,Indents on Surface
Studio.App.RBXMainWindow.InsertBasicObjects,,Insert Basic Objects,Insert Basic Objects
Studio.App.RBXMainWindow.InsertBreakpoint,,Insert Breakpoint,Insert Breakpoint
Studio.App.RBXMainWindow.InsertClipboardContents,,Insert Clipboard contents,Insert Clipboard contents
Studio.App.RBXMainWindow.InsertConditionalBreakpoint,,Insert Conditional Breakpoint,Insert Conditional Breakpoint
Studio.App.RBXMainWindow.InsertConditionalBreakpointElps,,Insert Conditional Breakpoint...,Insert Conditional Breakpoint...
Studio.App.RBXMainWindow.InsertContextDependentBreakpoint,,Insert Contextual Breakpoint,Insert Contextual Breakpoint
Studio.App.RBXMainWindow.InsertFromFileElps,,Insert from File...,Insert from File...
Studio.App.RBXMainWindow.InsertLocalBreakpoint,,Insert Local Breakpoint,Insert Local Breakpoint
Studio.App.RBXMainWindow.InsertLogpoint,,Insert Logpoint,Insert Logpoint
Studio.App.RBXMainWindow.InsertLogpointElps,,Insert Logpoint...,Insert Logpoint...
Studio.App.RBXMainWindow.InsertModels,,Insert Models,Insert Models
Studio.App.RBXMainWindow.InsertObject,,Insert Object,Insert Object
Studio.App.RBXMainWindow.InsertObjectAction,,Insert Object...,Insert Object...
Studio.App.RBXMainWindow.InsertObjectsFromWeb,,Insert Objects from Web,Insert Objects from Web
Studio.App.RBXMainWindow.InsertObjectsWidgetExplorer,,Open insert objects widget in explorer,Open insert objects widget in explorer
Studio.App.RBXMainWindow.InsertObjectsWidgetMenu,,Open insert object menu,Open insert object menu
Studio.App.RBXMainWindow.InsertPart,,Insert Part,Insert Part
Studio.App.RBXMainWindow.InsertPartIntoSelection,Describes an action that can be used to insert a Part into an instance the user has selected,Insert Part into selection,Insert Part into selection
Studio.App.RBXMainWindow.InsertServices,,Insert Services.,Insert Services.
Studio.App.RBXMainWindow.InstanceDefaultsEditor,,Instance Defaults Editor,Instance Defaults Editor
Studio.App.RBXMainWindow.InstanceDump,,Instance Dump,Instance Dump
Studio.App.RBXMainWindow.InternalDebug,,Internal Debug,Internal Debug
Studio.App.RBXMainWindow.Intersect,,Intersect,Intersect
Studio.App.RBXMainWindow.IntersectSelection,,Intersect Selection,Intersect Selection
Studio.App.RBXMainWindow.JoinSurfacesCheck,,Join Surfaces Check,Join Surfaces Check
Studio.App.RBXMainWindow.JumpsToFunction,,Jumps to the function after filter,Jumps to the function after filter
Studio.App.RBXMainWindow.JumpsToVariable,,Go to declaration of variable,Go to declaration of variable
Studio.App.RBXMainWindow.LaunchSoloMode,,Launch Studio in Solo Player Mode,Launch Studio in Solo Player Mode
Studio.App.RBXMainWindow.LaunchStudioInPlayerMode,,Launch Studio in Player Mode,Launch Studio in Player Mode
Studio.App.RBXMainWindow.LaunchStudioInServerMode,,Launch Studio in Server Mode,Launch Studio in Server Mode
Studio.App.RBXMainWindow.LinkedSourceCreateSuccessfully,,Successfully created new LinkedSource,Successfully created new LinkedSource
Studio.App.RBXMainWindow.LinkedSourceCreateUnsuccessfully,,Error occurred while creating new LinkedSource,Error occurred while creating new LinkedSource
Studio.App.RBXMainWindow.LoadFromCSVElps,,Load from CSV...,Load from CSV...
Studio.App.RBXMainWindow.LoadLocalizationTableEntriesFromCSV,,Load LocalizationTable entries from a CSV file,Load LocalizationTable entries from a CSV file
Studio.App.RBXMainWindow.LoadLocalizationTableFromCSV,,Load LocalizationTable from CSV file...,Load LocalizationTable from CSV file...
Studio.App.RBXMainWindow.LockObjects,,Lock objects,Lock objects
Studio.App.RBXMainWindow.LockPreventSelection,,Lock - prevent selection,Lock - prevent selection
Studio.App.RBXMainWindow.ManageDevicesElps,,Manage Devices...,Manage Devices...
Studio.App.RBXMainWindow.ManageEmulatedDevices,,Manage emulated devices,Manage emulated devices
Studio.App.RBXMainWindow.ManagePlugins,,Manage Plugins,Manage Plugins
Studio.App.RBXMainWindow.MassUpdateAllPackages,,Mass Update All Packages in Current Place,Mass Update All Packages in Current Place
Studio.App.RBXMainWindow.ModelElps,,Model...,Model...
Studio.App.RBXMainWindow.MotorOnSurface,,Motor on Surface,Motor on Surface
Studio.App.RBXMainWindow.MoveDown,,Move Down,Move Down
Studio.App.RBXMainWindow.MoveEdit,,Move - Edit,Move - Edit
Studio.App.RBXMainWindow.MoveLinesDown,,Move Lines Down,Move Lines Down
Studio.App.RBXMainWindow.MoveLinesDownToolTip,,Move selected line(s) downwards,Move selected line(s) downwards
Studio.App.RBXMainWindow.MoveLinesUp,,Move Lines Up,Move Lines Up
Studio.App.RBXMainWindow.MoveLinesUpToolTip,,Move selected line(s) upwards,Move selected line(s) upwards
Studio.App.RBXMainWindow.MoveObjectsDown,,Move objects down,Move objects down
Studio.App.RBXMainWindow.MoveObjectsUp,,Move objects up,Move objects up
Studio.App.RBXMainWindow.MoveParts,,Move Parts,Move Parts
Studio.App.RBXMainWindow.MoveToggle,,Move - Toggle,Move - Toggle
Studio.App.RBXMainWindow.MoveTool,,Move Tool,Move Tool
Studio.App.RBXMainWindow.MoveUp,,Move Up,Move Up
Studio.App.RBXMainWindow.MoveUpBrick,,Move Up Brick,Move Up Brick
Studio.App.RBXMainWindow.Negate,,Negate,Negate
Studio.App.RBXMainWindow.NegateSelection,,Negate Selection,Negate Selection
Studio.App.RBXMainWindow.NetworkSimulator,,Network Simulator,Network Simulator
Studio.App.RBXMainWindow.NetworkStats,,Network Stats,Network Stats
Studio.App.RBXMainWindow.Never,,Never,Never
Studio.App.RBXMainWindow.NeverBreakErrorsIntoDebugger,,Never break errors into debugger,Never break errors into debugger
Studio.App.RBXMainWindow.NeverJoinPartsAutomatically,,Never join parts automatically,Never join parts automatically
Studio.App.RBXMainWindow.ObjectBrowser,,Object Browser,Object Browser
Studio.App.RBXMainWindow.OnAllExceptions,,On All Exceptions,On All Exceptions
Studio.App.RBXMainWindow.OnUnhandledExceptions,,On Unhandled Exceptions,On Unhandled Exceptions
Studio.App.RBXMainWindow.OneStudGrid,,One Stud Grid,One Stud Grid
Studio.App.RBXMainWindow.OnlineHelpElps,,Online Help...,Online Help...
Studio.App.RBXMainWindow.OpenARecentDocument,,Open a recent document,Open a recent document
Studio.App.RBXMainWindow.OpenAnExistingDocument,,Open an existing document,Open an existing document
Studio.App.RBXMainWindow.OpenAutoSaves,,Open Auto Saves,Open Auto Saves
Studio.App.RBXMainWindow.OpenAutoSavesFolder,,Open Auto Saves Folder,Open Auto Saves Folder
Studio.App.RBXMainWindow.OpenElps,,Open...,Open...
Studio.App.RBXMainWindow.OpenFlagEditor,,Open Flag Editor,Open Flag Editor
Studio.App.RBXMainWindow.OpenLocalizationFolder,,Open Localization Folder,Open Localization Folder
Studio.App.RBXMainWindow.OpenPluginsFolder,,Open Plugins Folder,Open Plugins Folder
Studio.App.RBXMainWindow.OpenPreviousTab,,Open Previous Tab,Open Previous Tab
Studio.App.RBXMainWindow.OpenRecent,,Open Recent,Open Recent
Studio.App.RBXMainWindow.OpenRecentElps,,Open Recent...,Open Recent...
Studio.App.RBXMainWindow.OpenRecentSaves,,Open Recent Saves,Open Recent Saves
Studio.App.RBXMainWindow.OpenRecentSavesFolder,,Open Recent Saves Folder,Open Recent Saves Folder
Studio.App.RBXMainWindow.OpenSelectedScript,,Open selected script,Open selected script
Studio.App.RBXMainWindow.OpenStyleEditor,Tooltip that displays when opening the Style Editor that edits StyleSheet and StyleRule instances,"Create, remove, and modify styles","Create, remove, and modify styles"
Studio.App.RBXMainWindow.Output,,Output,Output
Studio.App.RBXMainWindow.OutputWindow,,Output Window,Output Window
Studio.App.RBXMainWindow.OutputWindowTitle,,Output - Network Simulator Enabled,Output - Network Simulator Enabled
Studio.App.RBXMainWindow.PanLeft,,Pan Left,Pan Left
