Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.PluginInstallation.Toolbar.ManageButtonDescription,Manage plugins installed from roblox.com,Manage plugins installed from roblox.com,Gestiona plugins instalados desde roblox.com,Gérer les plugins installés de roblox.com,Gestisci plugin installati su roblox.com,Roblox.comからインストールしたプラグインを管理,roblox.com에서 설치한 플러그인 관리,Gerenciar plugins instalados a partir de roblox.com,Управление установленными плагинами с сайта roblox.com,管理从 roblox.com 安装的插件,管理从 roblox.com 安装的插件,管理從 roblox.com 安裝的外掛程式
Studio.PluginInstallation.Loading.Title,Updating Plugins,Updating Plugins,Actualizando plugins,Mise à jour des plugins,Aggiornamento plugin,プラグインをアップデート中,플러그인 업데이트,Atualizando plugins,Обновляются плагины,正在更新插件,正在更新插件,正在更新外掛程式
Studio.PluginInstallation.Main.Title,Plugins,Plugins,Plugins,Plugins,Plugin,プラグイン,플러그인,Plugins,Плагины,插件,插件,外掛程式
Studio.PluginInstallation.Main.UpdateAllButton,Update all,Update all,Actualizar todos,Tout mettre à jour,Aggiorna tutto,すべてアップデート,모두 업데이트,Atualizar tudo,Обновить все,全部更新,全部更新,全部更新
Studio.PluginInstallation.Main.NoPluginsMessage,You haven’t installed any plugins yet.,You haven’t installed any plugins yet.,Todavía no has instalado ningún plugin.,Tu n'as pas encore installé de plugins.,Non hai ancora installato alcun plugin.,まだプラグインをインストールしていません。,설치된 플러그인이 없습니다.,Você ainda não instalou plugins.,Ни один плагин пока не установлен.,你尚未安装任何插件。,你尚未安装任何插件。,您尚未安裝外掛程式。
Studio.PluginInstallation.Main.FindPluginsMessage_Old,Find plugins now,Find plugins now,Buscar plugins ahora,Trouver des plugins,Trova plugin ora,今、プラグインを見つける,지금 플러그인 찾기,Pesquisar plugins,Найти плагины,立即查找插件,立即查找插件,現在尋找外掛程式
Studio.PluginInstallation.Main.FindPluginsMessage,"To find more plugins, open Toolbox > Marketplace > Plugins.","To find more plugins, open Toolbox > Marketplace > Plugins.","Para encontrar más plugins, abre Herramientas > Mercado > Plugins.","Pour trouver davantage de plugins, ouvre Toolbox > Marketplace > Plugins.","To trovare altri plugin, apri Toolbox > Mercato > Plugin.",プラグインをもっと見つけるには、ツールボックスを開く > マーケットプレース > プラグイン。,더 많은 플러그인을 찾으려면 도구 상자 > 마켓플레이스 > 플러그인을 여세요.,Para encontrar mais plugins abra a Caixa de Ferramentas > Mercado > Plugins.,Для поиска плагинов откройте раздел «Панель инструментов» > «Магазин» > «Плагины».,要查找更多插件，请打开“工具箱 > 商店 > 插件”。,要查找更多插件，请打开“工具箱 > 商店 > 插件”。,若要尋找更多外掛程式，請前往工具箱 > 商城 > 外掛程式。
Studio.PluginInstallation.Entry.UpdateButton,Update,Update,Actualizar,Mise à jour,Aggiorna,アップデート,업데이트,Atualizar,Обновить,更新,更新,更新
Studio.PluginInstallation.Entry.LastUpdatedDate,Updated: {date:shortdate},Updated: {date:shortdate},Actualizado: {date:shortdate},Mis à jour : {date:shortdate},Aggiornamento: {date:shortdate},アップデート済み: {date:shortdate},업데이트됨: {date:shortdate},Atualizado(s): {date:shortdate},Обновлено: {date:shortdate},更新日期：{date:shortdate},更新日期：{date:shortdate},更新日期：{date:shortdate}
Studio.PluginInstallation.Entry.UpdateError,Error. Try updating again.,Error. Try updating again.,Error. Intenta actualizar de nuevo.,Erreur. Réessaie de mettre à jour.,Errore. Prova ad aggiornare di nuovo.,エラー。もう一度アップデートしてみてください。,오류. 업데이트를 다시 시도하세요.,Erro. Tente atualizar novamente.,Ошибка. Повторите обновление позже.,发生错误。请尝试再次更新。,发生错误。请尝试再次更新。,發生錯誤，請重新嘗試更新。
Studio.PluginInstallation.Entry.UpdateSuccess,Update complete!,Update complete!,¡Actualización completada!,Mise à jour complète !,Aggiornamento completato!,アップデート完了！,업데이트 완료!,Atualização completa!,Обновление завершено!,更新完成！,更新完成！,更新完成！
Studio.PluginInstallation.EntrySeeMore.RemoveButton,Uninstall,Uninstall,Desinstalar,Désinstaller,Disinstalla,アンインストール,제거,Desinstalar,Удалить,卸载,卸载,解除安裝
Studio.PluginInstallation.Entry.ModeratedWarning,This plugin includes malicious content and can’t be run anymore.,This plugin includes malicious content and can’t be run anymore.,Este plugin contiene contenido malicioso y ya no se puede ejecutar.,Ce plugin comprend du contenu malveillant et ne peut plus être exécuté.,Questo plugin include contenuti malevoli e non può essere più eseguito.,このプラグインには有害なコンテンツが含まれるのでもう実行できません。,이 플러그인에는 악성 콘텐츠가 들어 있어 더 이상 실행할 수 없습니다.,Este plugin possui conteúdo malicioso e não pode mais ser executado.,Этот плагин содержит вредоносный контент и больше не может быть запущен.,此插件包含恶意内容，无法继续使用。,此插件包含恶意内容，无法继续使用。,此外掛程式包含惡意內容，無法繼續運行。
Studio.PluginInstallation.EntrySeeMore.DetailsButton,Details,Details,Detalles,Détails,Dettagli,詳細,세부 정보,Detalhes,Подробнее,详情,详情,詳細資料
Studio.PluginInstallation.Header.PendingUpdates,Pending updates,Pending updates,Actualizaciones pendientes,Mises à jour en attente,Aggiornamenti in sospeso,保留中のアップデート,업데이트 보류 중,Atualizações pendentes,Ожидающие обновления,待更新,待更新,待套用更新
Studio.PluginInstallation.Moved.NewLocationMessage,Get plugins from Marketplace under Toolbox.,Get plugins from Marketplace under Toolbox.,"Obtén plugins de Mercado, bajo Herramientas.",Trouver des plugins du Marketplace sous Toolbox.,Ottieni i plugin dal mercato sotto Toolbox.,ツールボックスの下のマーケットプレースからプラグインを取得。,도구 상자 아래의 마켓플레이스에서 플러그인을 받으세요.,Obtenha plugins do Mercado na Caixa de ferramentas.,Плагины находятся в разделе «Панель инструментов» > «Магазин».,请到“工具箱”下的“商店”中获取插件。,请到“工具箱”下的“商店”中获取插件。,請在工具箱裡的商城取得外掛程式。
